accountsservice 0.6.55-3
acpi 1.7-3
adobe-source-han-sans-cn-fonts 2.001-2
adobe-source-han-sans-jp-fonts 2.001-2
adobe-source-han-sans-kr-fonts 2.001-2
adobe-source-sans-pro-fonts 3.028-1
alacritty 0.5.0-1
alsa-firmware 1.2.1-2
alsa-lib 1.2.3.2-1
alsa-plugins 1:1.2.2-2
alsa-utils 1.2.3-2
arandr 0.1.10-4
arc-gtk-theme 20200819-2
arch-install-scripts 23-2
archiso 48.1-1
arcolinux-arc-themes-nico-git 20.4-1
arcolinux-bin-git 20.10-2
arcolinux-bspwm-git 20.6-1
arcolinux-common-git 19.3-2
arcolinux-config-git 20.10-2
arcolinux-conky-collection-git 20.9-1
arcolinux-dconf-git 20.9-1
arcolinux-docs-git 19.3-1
arcolinux-faces-git 19.3-1
arcolinux-fonts-git 19.7-3
arcolinux-geany-git 19.7-1
arcolinux-grub-theme-vimix-git 20200928-1
arcolinux-hblock-git 2.1.7-1
arcolinux-i3wm-git 20.10-1
arcolinux-keyring 20230919-4
arcolinux-kvantum-git 20.5-1
arcolinux-lightdm-gtk-greeter 1:2.0.8-1
arcolinux-lightdm-gtk-greeter-settings 1.2.2-4
arcolinux-local-applications-git 20.6-2
arcolinux-local-xfce4-git 19.11-4
arcolinux-logo-git 19.3-2
arcolinux-logout-git 20.9-2
arcolinux-logout-themes-git 20.6-7
arcolinux-mirrorlist-git 20.3-1
arcolinux-neofetch-git 20.4-3
arcolinux-nitrogen-git 20.2-2
arcolinux-obmenu-generator-git 20.5-1
arcolinux-openbox-git 20.9-1
arcolinux-openbox-themes-git 19.3-1
arcolinux-pipemenus-git 19.12-3
arcolinux-plank-git 19.3-2
arcolinux-plank-themes-git 19.3-1
arcolinux-polybar-git 20.9-1
arcolinux-qt5-git 19.3-4
arcolinux-qtile-git 20.6-2
arcolinux-rofi-git 19.3-1
arcolinux-rofi-themes-git 19.3-1
arcolinux-root-git 20.10-2
arcolinux-spectrwm-git 20.7-17
arcolinux-system-config-git 20.9-19
arcolinux-termite-themes-git 20.4-1
arcolinux-tint2-git 19.12-2
arcolinux-tint2-themes-git 19.12-2
arcolinux-tweak-tool-git 20.9-6
arcolinux-variety-git 20.10-1
arcolinux-wallpapers-git 20.7-4
arcolinux-welcome-app-git 20.6-4
arcolinux-xfce-git 20.10-1
arcolinux-xfce4-panel-profiles-git 19.3-1
arcolinux-xmonad-polybar-git 20.6-2
arcolinux-zsh-git 20.7-3
asciinema 2.0.2-3
asciiquarium 1.1-6
atom 1.51.0-1
autoconf 2.69-7
automake 1.16.2-3
autotiling 1.1-1
avahi 0.8+15+ge8a3dd0-1
awesome 4.3-2
awesome-terminal-fonts 1.1.0-3
baobab 3.38.0-1
